"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","mCherry-A","Time"
156400.203125,65477.894531,156539.000000,138645.359375,89235.851563,101823.000000,15779.399414,35334.628906,0.248788
88423.203125,59000.421875,98218.000000,59394.718750,78455.515625,49614.000000,60.480000,622.080017,0.248788
111586.804688,61707.992188,118509.000000,102542.156250,82980.835938,80985.000000,729.119995,28047.060547,0.248788
139516.812500,65672.890625,139226.000000,130598.992188,91240.812500,93806.000000,9654.120117,17310.509766,0.248788
145015.812500,68649.914063,138438.000000,139385.390625,94709.804688,96450.000000,6464.639648,11033.009766,0.248788
167196.000000,67828.945313,161544.000000,157377.359375,95097.390625,108456.000000,362.039978,34838.101563,0.248788
95818.203125,58825.855469,106748.000000,75046.437500,79846.796875,61596.000000,857.639954,16783.199219,0.248788
139054.812500,62608.433594,145557.000000,109428.476563,88544.742188,80993.000000,139.440002,6850.169922,0.248788
113073.007813,60921.363281,121638.000000,91572.593750,82000.671875,73186.000000,20648.039063,33725.968750,0.248788
140643.609375,64846.519531,142139.000000,116768.398438,88396.046875,86571.000000,105.000000,29496.960938,0.248788
179139.609375,78837.554688,148915.000000,159688.187500,102533.882813,102067.000000,216.719986,2996.189941,0.248788
123857.406250,63188.894531,128458.000000,78931.437500,83825.164063,61710.000000,1125.599976,8952.929688,0.249596
138939.609375,65838.140625,138302.000000,139692.828125,100301.390625,91274.000000,6580.559570,61744.679688,0.249596
103914.601563,60058.976563,113391.000000,118601.273438,83714.640625,92847.000000,230.159988,21067.291016,0.249596
131911.203125,62600.890625,138096.000000,148623.718750,87102.984375,111824.000000,15398.039063,43263.718750,0.249596
159200.406250,67681.843750,154153.000000,139570.203125,92242.648438,99161.000000,129.360001,565.380005,0.249596
144815.406250,64997.144531,146016.000000,97765.078125,92114.734375,69556.000000,155.399994,8215.020508,0.249596
117345.601563,62899.636719,122264.000000,98946.117188,86738.000000,74760.000000,414.119995,14858.639648,0.249596
146574.000000,66332.039063,144815.000000,163898.281250,92026.476563,116719.000000,158.759995,30458.429688,0.249596
138549.000000,64330.175781,141146.000000,131571.718750,87545.273438,98494.000000,131.039993,318.329987,0.250404
176113.812500,65264.664063,176846.000000,182181.718750,87359.781250,136670.000000,92.399994,100.440002,0.250404
142659.000000,74706.546875,125147.000000,104163.359375,98336.906250,69419.000000,4995.479980,12129.750000,0.250404
151021.812500,63790.179688,155155.000000,138734.390625,95969.953125,94739.000000,421.679993,674.729980,0.251212
98188.203125,59380.824219,108366.000000,76917.960938,85228.000000,59146.000000,113.399994,102.870003,0.251212
181335.609375,71490.507813,166232.000000,137756.640625,95952.929688,94088.000000,7234.079590,29714.041016,0.252019
150142.203125,66057.453125,148957.000000,152478.468750,89582.406250,111549.000000,1223.039917,18058.949219,0.252019
126160.804688,67831.148438,121892.000000,109141.195313,107766.492188,66372.000000,787.079956,24197.939453,0.252019
187076.406250,74868.031250,163758.000000,166476.234375,98868.937500,110350.000000,231.839996,2410.560059,0.252019
106718.406250,65124.332031,107393.000000,59525.757813,83233.695313,46869.000000,7419.719727,6319.620117,0.252019
124983.601563,61577.570313,133018.000000,94379.875000,87966.539063,70314.000000,8050.559570,11066.219727,0.252019
124834.804688,63927.902344,127975.000000,102151.554688,87972.304688,76099.000000,509.879974,12987.540039,0.252019
148150.203125,78501.726563,123681.000000,148254.953125,105847.242188,91793.000000,136.080002,243.000000,0.252019
100594.203125,61225.160156,107677.000000,76854.960938,78806.609375,63913.000000,290.639984,9829.349609,0.252827
173945.406250,66299.609375,171942.000000,154564.187500,91140.328125,111142.000000,886.199951,29899.529297,0.252827
92766.000000,61782.406250,98402.000000,103374.593750,84189.859375,80470.000000,110.879997,1394.819946,0.252827
171746.406250,66939.281250,168146.000000,125707.679688,90263.820313,91270.000000,2356.199951,25847.910156,0.253635
114025.804688,60729.746094,123050.000000,77432.039063,83203.578125,60990.000000,5210.520020,25794.449219,0.253635
162607.812500,66526.828125,160186.000000,150255.000000,95423.296875,103194.000000,129.360001,266.489990,0.253635
150453.000000,64244.312500,153478.000000,123241.437500,89628.156250,90114.000000,341.879974,353.970001,0.254443
102883.203125,63330.582031,106466.000000,92815.796875,86909.226563,69990.000000,1047.479980,3416.580078,0.254443
116692.203125,60411.406250,126591.000000,77138.039063,82373.078125,61371.000000,85.680000,360.450012,0.254443
119366.406250,62774.210938,124618.000000,92421.835938,84677.164063,71530.000000,835.799988,33439.230469,0.254443
135554.406250,63587.582031,139708.000000,97776.835938,89847.203125,71320.000000,3428.039795,22662.990234,0.255250
129017.406250,63639.128906,132863.000000,115752.835938,92839.125000,81711.000000,305.759979,8681.580078,0.255250
165170.406250,67863.328125,159506.000000,160387.921875,93874.992188,111970.000000,1020.599976,16443.000000,0.255250
146843.406250,62750.414063,153362.000000,147715.671875,88017.515625,109986.000000,3979.919922,24261.929688,0.255250
121433.406250,61744.109375,128891.000000,100042.320313,84560.179688,77535.000000,4956.000000,17664.480469,0.255250
134244.000000,63658.636719,138203.000000,95716.320313,84083.273438,74603.000000,11196.359375,32914.351563,0.255250
115837.203125,61647.898438,123143.000000,107076.476563,85154.953125,82407.000000,3725.399902,10672.559570,0.255250
115812.007813,71524.148438,106116.000000,121122.953125,89403.007813,88788.000000,392.279999,4885.919922,0.255250
117906.601563,61801.199219,125032.000000,77929.320313,85834.890625,59500.000000,9129.959961,11203.919922,0.255250
158835.000000,67387.921875,154470.000000,116534.039063,92556.117188,82514.000000,106.680000,617.220032,0.255250
107601.007813,61277.382813,115079.000000,104600.156250,86198.101563,79527.000000,232.679993,20081.519531,0.255250
141050.406250,65035.457031,142136.000000,89302.078125,91137.734375,64216.000000,8319.359375,20180.339844,0.255250
122158.203125,61486.285156,130204.000000,92602.437500,86845.921875,69880.000000,6826.679688,7754.129883,0.255250
137818.203125,63706.953125,141775.000000,120167.039063,87788.773438,89707.000000,907.199951,17159.849609,0.255250
107322.601563,59870.734375,117478.000000,98623.554688,78773.843750,82050.000000,4182.359863,14477.129883,0.256058
193908.609375,69445.632813,182992.000000,199048.906250,92698.914063,140723.000000,4085.759766,22042.529297,0.256058
157396.812500,65858.531250,156626.000000,116473.554688,86735.125000,88006.000000,1052.520020,19460.250000,0.256058
123542.406250,64237.859375,126039.000000,106491.835938,90864.750000,76807.000000,2656.079834,6104.970215,0.256058
127459.804688,65637.867188,127262.000000,118388.757813,88329.937500,87838.000000,740.039978,2779.110107,0.256058
92830.203125,75545.070313,80531.000000,69489.835938,90174.562500,50503.000000,3359.159912,9213.750000,0.256058
103039.804688,60080.046875,112397.000000,115316.875000,82780.968750,91294.000000,16770.599609,12022.020508,0.256058
131127.609375,63419.847656,135503.000000,116203.078125,90990.914063,83695.000000,126.839996,11632.410156,0.256866
178296.000000,71319.273438,163838.000000,147126.828125,100190.195313,96238.000000,458.639984,19384.109375,0.256866
134407.812500,65613.531250,134249.000000,90585.593750,88987.421875,66713.000000,255.359985,10809.450195,0.256866
113069.406250,59490.339844,124560.000000,71909.039063,79864.273438,59008.000000,1530.479980,4079.159912,0.256866
157800.609375,64272.390625,160903.000000,124676.156250,90574.062500,90211.000000,41606.878906,28899.179688,0.256866
175678.812500,66239.890625,173812.000000,184614.359375,94861.250000,127543.000000,5385.239746,12951.900391,0.256866
125697.007813,86718.804688,94993.000000,108282.718750,138599.187500,51201.000000,1127.279907,6825.870117,0.256866
86920.804688,70868.015625,80381.000000,72732.234375,86237.039063,55273.000000,3406.199951,11659.950195,0.256866
123847.203125,80352.140625,101011.000000,97882.679688,98039.765625,65431.000000,992.879944,7639.919922,0.256866
146039.406250,67985.812500,140777.000000,124952.515625,100164.984375,81754.000000,440.159973,21471.480469,0.256866
104628.007813,62020.289063,110559.000000,83808.476563,84386.625000,65087.000000,62.160000,5121.629883,0.256866
146455.203125,65391.425781,146779.000000,134842.671875,92303.546875,95739.000000,244.439987,10722.780273,0.257674
143895.609375,65069.609375,144927.000000,135530.640625,91656.289063,96907.000000,110.039993,170.100006,0.257674
147706.203125,63330.957031,152849.000000,135187.921875,89180.890625,99345.000000,180.599991,34200.628906,0.257674
137620.203125,66411.492188,135806.000000,130168.078125,89223.882813,95610.000000,110.879997,74.519997,0.257674
127930.203125,68475.195313,122439.000000,92341.195313,92579.937500,65367.000000,2537.639893,14994.719727,0.257674
180905.406250,67366.812500,175989.000000,136973.750000,93646.906250,95857.000000,2435.159912,3254.580078,0.257674
169228.203125,65388.093750,169611.000000,168966.828125,95768.382813,115627.000000,1627.079956,22534.199219,0.257674
136950.000000,65647.210938,136718.000000,122647.554688,92693.570313,86714.000000,828.239990,35032.500000,0.257674
110656.804688,61900.933594,117155.000000,90295.796875,82603.406250,71639.000000,7838.039551,42648.121094,0.258481
120454.203125,59805.945313,131995.000000,90258.835938,83643.757813,70719.000000,7104.719727,20201.400391,0.258481
83548.804688,71864.843750,76191.000000,102553.914063,143380.765625,46875.000000,650.159973,7873.200195,0.258481
200600.406250,66747.304688,196960.000000,136573.078125,95363.671875,93856.000000,120.959999,782.460022,0.258481
167416.203125,65237.199219,168183.000000,152850.593750,88202.234375,113571.000000,192.360001,627.750000,0.258481
127045.804688,63346.507813,131437.000000,101226.718750,88997.929688,74541.000000,283.079987,4068.630127,0.258481
106870.804688,63094.089844,111007.000000,93389.515625,86584.171875,70687.000000,975.239990,7757.370117,0.258481
111217.804688,64706.812500,112643.000000,105983.632813,87097.242188,79747.000000,2560.319824,20966.849609,0.258481
197020.203125,75510.929688,170994.000000,210584.640625,94740.679688,145670.000000,189.839996,49.410000,0.258481
128560.804688,62908.687500,133930.000000,95779.320313,90044.382813,69710.000000,8860.319336,33133.859375,0.259289
144511.812500,72147.460938,131269.000000,160367.750000,98181.703125,107045.000000,2119.319824,6955.470215,0.259289
138696.609375,72212.070313,125874.000000,163710.109375,97761.250000,109746.000000,115.919998,-17.820000,0.259289
127984.203125,66936.187500,125307.000000,85412.875000,94003.359375,59547.000000,572.880005,19998.089844,0.259289
149922.609375,66473.585938,147808.000000,193458.718750,92226.132813,137472.000000,157.919998,662.580017,0.259289
106241.406250,59826.230469,116381.000000,114570.117188,81972.851563,91597.000000,88.199997,110.160004,0.259289
94934.406250,60323.265625,103138.000000,79317.835938,79141.523438,65682.000000,88.199997,302.940002,0.259289
149286.609375,65323.605469,149772.000000,104448.117188,91015.742188,75208.000000,211.679993,1112.130005,0.259289
133062.609375,72674.171875,119993.000000,116672.632813,93326.718750,81930.000000,901.319946,21092.400391,0.259289
