"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
55287.000000,74417.000000,48688.996094,61038.867188,47921.000000,83475.789063,44.500000,15988.711914,182.399994,0.098892
97073.500000,115080.000000,55281.621094,72290.250000,47676.000000,99371.039063,40.939999,1305.104248,2055.800049,0.098892
194357.000000,122037.000000,104373.101563,181595.593750,83009.000000,143370.578125,143.289993,3363.112305,2792.239990,0.098892
86153.000000,92627.000000,60955.476563,152426.734375,101896.000000,98035.632813,49.840000,49399.601563,66.120003,0.099881
154361.000000,145348.000000,69599.875000,181270.750000,104548.000000,113629.718750,80.099998,65161.539063,80.559998,0.100870
56812.500000,51909.000000,71726.757813,83746.328125,43233.000000,126949.304688,20.469999,12518.820313,107.159996,0.103837
88735.000000,105402.000000,55172.929688,46329.839844,36538.000000,83099.039063,158.419998,6739.395020,1540.520020,0.103837
153643.500000,171673.000000,58653.253906,113875.500000,76505.000000,97548.460938,1569.959961,20097.923828,5119.359863,0.104826
150450.500000,136124.000000,72433.398438,175898.703125,110668.000000,104164.679688,268.779999,2916.476074,6039.719727,0.104826
56887.500000,59268.000000,62903.742188,65786.132813,44420.000000,97058.992188,51.619999,65459.660156,51.680000,0.104826
100320.500000,105840.000000,62118.335938,100946.468750,65236.000000,101410.687500,126.379997,6361.882813,1301.880005,0.106804
79273.000000,82255.000000,63160.113281,143382.562500,97055.000000,96818.507813,50.730000,21443.683594,155.039993,0.106804
99895.500000,116794.000000,56053.832031,82198.617188,62206.000000,86598.851563,32.930000,3204.960693,673.359985,0.107793
62397.000000,55751.000000,73348.460938,90107.156250,52563.000000,112346.375000,24.920000,16403.685547,99.559998,0.108782
174056.500000,122064.000000,93450.703125,167032.531250,76612.000000,142884.187500,194.020004,32869.523438,386.839996,0.109771
62335.500000,67873.000000,60189.164063,101074.625000,69569.000000,95215.210938,129.940002,31124.689453,273.600006,0.112737
160868.500000,157113.000000,67102.515625,118288.117188,59257.000000,130822.187500,100.570000,3511.043213,1877.199951,0.114715
72707.500000,90816.000000,52468.277344,60333.097656,45060.000000,87749.445313,49.840000,1862.924072,1753.319946,0.114715
65661.500000,88138.000000,48823.347656,91802.609375,74042.000000,81256.265625,129.940002,23688.984375,359.479980,0.116693
156357.500000,151085.000000,67823.046875,127278.007813,78089.000000,106817.750000,64.970001,2652.672607,1605.119995,0.116693
103457.500000,119345.000000,56811.687500,84875.742188,60849.000000,91413.437500,1136.530029,46690.996094,1595.239990,0.117682
77583.500000,95337.000000,53331.992188,65349.140625,52889.000000,80975.656250,417.410004,14154.065430,1932.679932,0.117682
63494.500000,63488.000000,65542.710938,77651.609375,47504.000000,107127.312500,5.340000,2932.960938,119.320000,0.118671
94784.000000,102357.000000,60687.246094,70586.789063,48885.000000,94629.757813,986.119995,50615.695313,1276.799927,0.118671
