"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
94611.500000,103557.000000,59874.843750,72366.789063,49621.000000,95577.070313,440.549988,262143.000000,1377.880005,0.130822
67361.000000,89442.000000,49356.796875,40931.988281,36674.000000,73144.976563,1049.309937,262143.000000,1472.880005,0.132915
169424.000000,188701.000000,58841.085938,78792.585938,52365.000000,98610.734375,1133.859985,262143.000000,10474.320313,0.133961
127830.500000,138869.000000,60326.636719,96485.789063,71621.000000,88288.242188,608.760010,262143.000000,38.000000,0.133961
141701.500000,160273.000000,57942.078125,89101.460938,59941.000000,97418.351563,752.940002,262143.000000,2158.399902,0.137101
70122.500000,88849.000000,51723.128906,42420.070313,34741.000000,80021.929688,101.459999,262143.000000,1968.400024,0.138148
143148.000000,136731.000000,68611.710938,121164.601563,82799.000000,95902.656250,1923.289917,262143.000000,2401.599854,0.139194
63717.500000,76946.000000,54269.101563,84093.429688,66722.000000,82598.640625,129.050003,262143.000000,1998.039917,0.141287
111795.500000,134113.000000,54630.273438,130583.468750,92469.000000,92549.046875,2727.849854,262143.000000,4269.680176,0.142334
169653.500000,168153.000000,66120.812500,100248.710938,58445.000000,112411.671875,3082.070068,262143.000000,431.679993,0.142334
122748.500000,129933.000000,61912.257813,68392.937500,42745.000000,104859.046875,1804.030029,262143.000000,2591.599854,0.142334
159723.000000,161068.000000,64988.742188,109675.585938,67736.000000,106113.437500,1888.579956,262143.000000,594.320007,0.143380
191051.000000,182692.000000,68534.578125,123447.445313,79796.000000,101386.679688,2778.579834,262143.000000,1975.239990,0.143380
100835.500000,106287.000000,62174.636719,53513.027344,35535.000000,98692.273438,230.509995,262143.000000,555.559998,0.144427
129336.500000,156407.000000,54193.210938,105011.992188,75095.000000,91644.796875,1350.130005,262143.000000,4130.600098,0.144427
155300.500000,158273.000000,64305.179688,79499.250000,51057.000000,102044.054688,4363.669922,262143.000000,5074.520020,0.149660
140121.000000,123556.000000,74322.343750,133929.875000,74100.000000,118451.125000,8086.540039,262143.000000,7426.719727,0.152800
142976.000000,149871.000000,62520.937500,114800.210938,81195.000000,92660.226563,591.849976,262143.000000,1105.040039,0.152800
134765.500000,138253.000000,63882.824219,54414.597656,38873.000000,91737.593750,3366.869873,262143.000000,6650.759766,0.154893
107871.500000,99852.000000,70799.445313,91567.648438,54780.000000,109546.867188,100.570000,262143.000000,102.599998,0.158032
139294.500000,124736.000000,73185.007813,140356.562500,77696.000000,118389.726563,2339.810059,262143.000000,1502.520020,0.159079
142586.500000,143596.000000,65075.273438,147798.734375,90620.000000,106887.421875,2179.609863,262143.000000,6658.359863,0.160126
170202.000000,126745.000000,88006.304688,121911.304688,62265.000000,128315.742188,2256.149902,262143.000000,1502.520020,0.161172
163943.500000,165881.000000,64770.531250,119547.468750,74797.000000,104745.695313,1304.739990,262143.000000,296.399994,0.162219
168416.000000,168991.000000,65313.015625,84114.789063,51835.000000,106347.968750,6427.580078,262143.000000,8.360000,0.163265
