"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
109162.500000,129401.000000,55286.074219,94734.265625,72249.000000,85932.054688,33.820000,262143.000000,608.760010,0.408322
176842.000000,167552.000000,69169.671875,101157.398438,57056.000000,116192.007813,110.360001,262143.000000,1982.839966,0.408322
75592.000000,88145.000000,56202.816406,94770.757813,72069.000000,86179.859375,591.849976,262143.000000,1681.119995,0.408322
113367.000000,127878.000000,58099.281250,101810.656250,73014.000000,91383.335938,1199.719971,262143.000000,1646.160034,0.410982
116082.500000,117399.000000,64801.097656,84994.109375,53635.000000,103853.351563,401.389984,262143.000000,1418.160034,0.410982
133819.500000,153978.000000,56956.156250,95810.281250,67002.000000,93713.953125,29.369999,262143.000000,450.679993,0.412312
97819.500000,97637.000000,65658.500000,114428.187500,69557.000000,107813.242188,476.149994,262143.000000,1105.040039,0.412312
91816.000000,107229.000000,56115.914063,50419.390625,36973.000000,89370.226563,387.149994,262143.000000,1605.119995,0.412312
57533.000000,68157.000000,55320.554688,69704.796875,53405.000000,85538.312500,24.920000,262143.000000,992.559998,0.414972
78591.000000,103016.000000,49997.472656,77051.750000,62092.000000,81325.507813,135.279999,262143.000000,1123.280029,0.414972
195816.500000,173475.000000,73976.250000,181586.703125,99895.000000,119129.750000,87.220001,262143.000000,341.239990,0.416303
68211.500000,64785.000000,69002.218750,109381.000000,68193.000000,105119.195313,13.349999,262143.000000,22.039999,0.416303
82422.500000,80981.000000,66702.578125,46544.328125,26561.000000,114842.406250,155.750000,262143.000000,414.959991,0.416303
75195.000000,93413.000000,52754.750000,53670.558594,43985.000000,79967.125000,183.339996,262143.000000,1077.679932,0.417633
103477.000000,116882.000000,58019.785156,46118.019531,32310.000000,93543.500000,635.459961,262143.000000,1646.919922,0.418963
83275.500000,97700.000000,55860.218750,63763.160156,44724.000000,93434.906250,29.369999,262143.000000,1121.760010,0.418963
58635.000000,78568.000000,48909.273438,87155.031250,79784.000000,71590.703125,23.139999,262143.000000,3192.000000,0.418963
108355.500000,114236.000000,62162.417969,75091.968750,51240.000000,96042.687500,739.589966,262143.000000,1923.559937,0.421623
109378.000000,124048.000000,57785.664063,103601.335938,73060.000000,92932.078125,41.829998,262143.000000,2008.679932,0.422953
62230.500000,78188.000000,52160.667969,85727.468750,67688.000000,83001.945313,299.040009,262143.000000,1276.799927,0.424283
72485.000000,79890.000000,59461.472656,131497.500000,88402.000000,97484.445313,82.769997,262143.000000,1722.160034,0.428273
140450.500000,147462.000000,62419.906250,171708.593750,115378.000000,97532.414063,194.020004,262143.000000,766.080017,0.428273
120024.500000,107181.000000,73389.187500,98711.679688,52313.000000,123662.734375,102.349998,262143.000000,213.559998,0.429603
61375.500000,80099.000000,50216.667969,64334.539063,51539.000000,81806.562500,223.389999,262143.000000,1364.959961,0.430933
111600.000000,124555.000000,58719.582031,105257.625000,73375.000000,94012.453125,48.059998,262143.000000,1476.679932,0.432263
133446.000000,140856.000000,62088.355469,129233.335938,85180.000000,99429.875000,1923.289917,262143.000000,2240.479980,0.432263
177478.000000,130601.000000,89059.031250,164685.593750,86697.000000,124489.140625,266.109985,262143.000000,1714.559937,0.432263
115642.000000,135753.000000,55827.230469,133815.953125,93929.000000,93365.867188,1257.569946,262143.000000,962.919983,0.433593
157152.000000,158765.000000,64870.175781,165289.906250,102537.000000,105644.210938,353.329987,262143.000000,1225.119995,0.437583
97866.500000,101006.000000,63498.988281,133467.062500,94138.000000,92915.687500,130.830002,262143.000000,732.640015,0.437583
75285.500000,95583.000000,51619.125000,51239.078125,41759.000000,80413.906250,1.780000,0.000000,-15.960000,0.438913
118523.000000,107601.000000,72188.203125,104185.179688,55857.000000,122238.570313,125.489998,262143.000000,3404.040039,0.441573
94038.500000,104193.000000,59148.957031,73944.757813,52129.000000,92962.531250,497.509979,262143.000000,1839.959961,0.441573
73840.000000,86901.000000,55686.105469,92938.250000,72965.000000,83475.656250,260.769989,262143.000000,1463.760010,0.441573
147343.500000,151960.000000,63545.035156,115347.554688,71036.000000,106416.718750,52.509998,262143.000000,1018.399963,0.444233
66759.500000,79577.000000,54980.085938,54826.667969,39357.000000,91295.585938,30.260000,262143.000000,837.520020,0.444233
142632.500000,129124.000000,72392.148438,95200.625000,57044.000000,109372.906250,1428.449951,262143.000000,2732.959961,0.444233
74409.000000,91684.000000,53187.777344,78730.289063,59488.000000,86734.609375,890.890015,262143.000000,4204.319824,0.444233
131349.000000,124964.000000,68884.546875,147160.609375,89524.000000,107728.851563,50.730000,262143.000000,361.760010,0.445563
196328.000000,155712.000000,82630.445313,172995.531250,82084.000000,138119.921875,248.309998,262143.000000,2055.800049,0.445563
57398.000000,69092.000000,54443.863281,72411.289063,56848.000000,83477.796875,30.260000,262143.000000,2473.800049,0.445563
78583.000000,96896.000000,53149.929688,74971.820313,59364.000000,82766.554688,1254.900024,262143.000000,1033.599976,0.445563
132333.500000,122977.000000,70522.195313,101241.945313,57649.000000,115092.929688,43.610001,262143.000000,276.639984,0.446893
151534.500000,158101.000000,62814.054688,144503.953125,86069.000000,110030.445313,874.869995,262143.000000,3895.760010,0.449553
142090.000000,120636.000000,77190.976563,141927.406250,85900.000000,108281.195313,77.430000,262143.000000,2617.439941,0.450884
160246.000000,141956.000000,73979.843750,121242.031250,78848.000000,100772.593750,1693.669922,262143.000000,4720.359863,0.452214
102256.000000,120593.000000,55570.796875,92259.179688,66113.000000,91453.992188,582.950012,262143.000000,1961.559937,0.453544
150371.000000,110697.000000,89024.210938,79674.578125,35561.000000,146833.703125,606.979980,262143.000000,1480.479980,0.453544
83292.000000,107536.000000,50760.902344,86242.781250,70160.000000,80558.820313,56.070000,262143.000000,76.760002,0.453544
124764.000000,115777.000000,70623.132813,66912.867188,45397.000000,96596.734375,1533.469971,262143.000000,4030.280029,0.456204
112260.000000,134725.000000,54608.066406,123369.125000,87317.000000,92595.023438,18.690001,262143.000000,64.599998,0.456204
101309.000000,112663.000000,58931.382813,92055.367188,54503.000000,110690.070313,331.970001,262143.000000,1339.880005,0.457534
192834.500000,185390.000000,68167.648438,162939.421875,94062.000000,113525.093750,751.159973,262143.000000,1618.799927,0.457534
96318.000000,110632.000000,57056.699219,69621.140625,48620.000000,93843.906250,3204.889893,262143.000000,3807.599854,0.457534
136340.500000,112869.000000,79164.437500,94412.085938,52449.000000,117969.656250,1392.849976,262143.000000,7344.640137,0.457534
100235.500000,119140.000000,55137.101563,60735.378906,46628.000000,85364.031250,28.480000,262143.000000,1557.239990,0.457534
176450.500000,130416.000000,88669.031250,131249.187500,77604.000000,110838.968750,637.239990,262143.000000,3068.879883,0.458864
76833.000000,97629.000000,51576.144531,75188.976563,60685.000000,81199.390625,164.649994,262143.000000,818.520020,0.464184
97507.000000,112718.000000,56692.089844,91947.679688,67502.000000,89269.695313,1343.900024,262143.000000,1983.599976,0.470834
130113.000000,159852.000000,53343.628906,106093.335938,78888.000000,88136.765625,469.919983,262143.000000,3250.520020,0.472164
171372.000000,154978.000000,72468.585938,193675.562500,118194.000000,107388.882813,376.470001,262143.000000,1339.880005,0.472164
88805.000000,108121.000000,53827.878906,55392.710938,42457.000000,85503.375000,140.619995,262143.000000,345.799988,0.472164
97249.500000,108605.000000,58683.699219,86417.218750,54937.000000,103089.703125,99.680000,262143.000000,1746.479980,0.472164
129876.500000,123392.000000,68980.046875,113728.648438,71236.000000,104628.570313,3748.679932,262143.000000,4834.359863,0.472164
200166.500000,129020.000000,101675.023438,130627.968750,51000.000000,167859.484375,1212.179932,262143.000000,4529.600098,0.473494
101282.500000,124841.000000,53168.832031,49807.960938,38669.000000,84414.250000,35.599998,262143.000000,2933.599854,0.473494
145014.500000,124610.000000,76267.320313,92155.046875,51366.000000,117577.257813,43.610001,262143.000000,2230.599854,0.474824
105505.000000,105217.000000,65715.390625,106728.796875,57445.000000,121761.312500,275.010010,262143.000000,4771.279785,0.474824
158681.000000,164000.000000,63410.472656,171031.296875,106484.000000,105261.890625,275.899994,262143.000000,504.639984,0.474824
136736.000000,133386.000000,67181.945313,108311.218750,68206.000000,104071.257813,45.389999,262143.000000,1489.599976,0.474824
90760.500000,101424.000000,58645.683594,93783.750000,63952.000000,96106.640625,143.289993,262143.000000,1599.799927,0.474824
119206.000000,107854.000000,72433.890625,61081.589844,40058.000000,99931.179688,113.919998,262143.000000,1946.359985,0.476154
106301.000000,114365.000000,60914.984375,144184.453125,97837.000000,96581.789063,66.750000,262143.000000,1728.239990,0.477484
102087.000000,106194.000000,63001.425781,83132.226563,52482.000000,103809.945313,32.040001,262143.000000,44.079998,0.477484
65690.500000,54568.000000,78894.085938,42582.050781,17912.000000,155798.203125,74.760002,262143.000000,241.679993,0.478814
58043.500000,78181.000000,48655.539063,50605.398438,42325.000000,78357.367188,258.989990,262143.000000,1364.959961,0.478814
71997.500000,87296.000000,54050.910156,63519.300781,49668.000000,83812.539063,1410.650024,262143.000000,1525.319946,0.478814
172426.000000,119736.000000,94375.210938,108693.031250,52312.000000,136169.656250,161.089996,262143.000000,2374.239990,0.481474
75562.500000,74101.000000,66828.570313,36949.238281,22293.000000,108621.781250,305.269989,262143.000000,835.239990,0.482804
75142.000000,94800.000000,51946.265625,72474.476563,56068.000000,84712.984375,9.790000,262143.000000,51.680000,0.482804
70742.000000,87679.000000,52876.378906,60395.398438,49275.000000,80326.195313,38.270000,262143.000000,1747.239990,0.484135
101848.500000,110322.000000,60502.378906,118691.289063,79986.000000,97248.921875,3558.219971,262143.000000,3014.919922,0.485465
99891.500000,101309.000000,64619.031250,95387.531250,64137.000000,97468.187500,130.830002,262143.000000,1094.400024,0.485465
118372.000000,115544.000000,67140.023438,164171.171875,93644.000000,114893.875000,89.889999,262143.000000,1512.400024,0.486795
89067.000000,101168.000000,57697.050781,73571.851563,53972.000000,89335.296875,202.029999,262143.000000,3366.800049,0.488125
