"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
107131.000000,117843.000000,59578.738281,69677.210938,45187.000000,101054.851563,1392.849976,262143.000000,1768.520020,0.716246
86681.500000,91028.000000,62406.718750,87640.078125,58628.000000,97966.500000,6477.419922,262143.000000,3587.199951,0.717618
151974.500000,156751.000000,63538.996094,163492.109375,97691.000000,109678.664063,1454.260010,262143.000000,755.440002,0.720362
152822.000000,164624.000000,60837.679688,112175.601563,78820.000000,93269.984375,137.949997,262143.000000,158.080002,0.728595
151162.000000,103604.000000,95619.414063,108276.507813,44480.000000,159532.578125,192.239990,262143.000000,276.639984,0.729967
183747.000000,167360.000000,71952.937500,96355.851563,48596.000000,129944.375000,258.100006,262143.000000,257.639984,0.732711
117724.000000,122264.000000,63102.468750,94901.585938,62508.000000,99498.789063,14896.819336,262143.000000,3148.679932,0.734083
159345.000000,146991.000000,71044.031250,135076.187500,75743.000000,116873.546875,46365.437500,262143.000000,46064.359375,0.735456
122389.000000,153360.000000,52301.035156,123894.226563,98868.000000,82124.968750,18437.240234,262143.000000,17077.199219,0.736828
128594.500000,138073.000000,61037.050781,123810.570313,85977.000000,94374.656250,41147.371094,262143.000000,25494.958984,0.736828
71494.500000,86249.000000,54324.847656,113079.835938,83613.000000,88632.164063,2047.890015,262143.000000,2359.040039,0.740944
89503.500000,105417.000000,55642.839844,102232.515625,80605.000000,83120.281250,1209.510010,262143.000000,636.119995,0.743688
132514.000000,137248.000000,63275.515625,145987.593750,91520.000000,104539.375000,409.399994,262143.000000,262.959991,0.745060
159651.500000,162191.000000,64509.871094,135605.734375,87051.000000,102090.234375,17953.080078,262143.000000,23007.480469,0.747805
95583.500000,105054.000000,59628.003906,128992.148438,94558.000000,89401.531250,5112.160156,262143.000000,1293.520020,0.747805
158773.000000,163984.000000,63453.429688,167768.562500,98052.000000,112133.156250,2979.719971,262143.000000,2542.959961,0.750549
207158.000000,209241.000000,64883.585938,110782.750000,65497.000000,110848.718750,198.470001,262143.000000,83.599998,0.750549
109776.000000,130654.000000,55063.609375,65518.238281,45742.000000,93870.039063,169.099991,262143.000000,49.399998,0.757409
120194.000000,120509.000000,65364.699219,104253.710938,71261.000000,95878.125000,11641.200195,262143.000000,12250.439453,0.757409
114889.500000,124071.000000,60686.207031,116261.585938,88263.000000,86325.187500,6008.390137,262143.000000,10143.719727,0.757409
66947.000000,83808.000000,52351.070313,73072.562500,58324.000000,82108.281250,1539.699951,262143.000000,1906.079956,0.762898
154066.500000,126858.000000,79592.156250,103523.906250,58574.000000,115828.570313,7241.040039,262143.000000,7272.439941,0.764270
119627.000000,122850.000000,63816.648438,87524.375000,58738.000000,97653.945313,849.950012,262143.000000,239.399994,0.764270
70171.500000,66044.000000,69631.750000,55734.468750,34156.000000,106939.164063,287.470001,262143.000000,329.839996,0.765642
81446.000000,107949.000000,49445.992188,148411.062500,116813.000000,83263.570313,1801.359985,262143.000000,3198.080078,0.768386
